# Introduction note
	#
	# This file is a French translation of https://unicode.org/Public/UNIDATA/Blocks.txt
	# It has been generated automatically thanks to the translations available in
	# http://hapax.qc.ca/noms_blocs_v15.txt
	#
	# End of introduction note

	# Blocks-15.0.0.txt
# Date: 2022-01-28, 20:58:00 GMT [KW]
# © 2022 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# For documentation, see https://www.unicode.org/reports/tr44/
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values,
#            see UAX #44: https://www.unicode.org/reports/tr44/
#
#  All block ranges start with a value where (cp MOD 16) = 0,
#  and end with a value where (cp MOD 16) = 15. In other words,
#  the last hexadecimal digit of the start of range is ...0
#  and the last hexadecimal digit of the end of range is ...F.
#  This constraint on block ranges guarantees that allocations
#  are done in terms of whole columns, and that code chart display
#  never involves splitting columns in the charts.
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; Latin de base
0080..00FF; Supplément Latin-1
0100..017F; Latin étendu A
0180..024F; Latin étendu B
0250..02AF; Supplément pour l’API
02B0..02FF; Lettres modificatives à chasse
0300..036F; Diacritiques
0370..03FF; Grec et copte
0400..04FF; Cyrillique
0500..052F; Supplément cyrillique
0530..058F; Arménien
0590..05FF; Hébreu
0600..06FF; Arabe
0700..074F; Syriaque
0750..077F; Supplément arabe
0780..07BF; Thâna
07C0..07FF; N’ko
0800..083F; Samaritain
0840..085F; Mandéen
0860..086F; Supplément syriaque
0870..089F; Arabe étendu B
08A0..08FF; Arabe étendu A
0900..097F; Dévanâgarî
0980..09FF; Bengali
0A00..0A7F; Gourmoukhî
0A80..0AFF; Goudjarati
0B00..0B7F; Oriya
0B80..0BFF; Tamoul
0C00..0C7F; Télougou
0C80..0CFF; Kannara
0D00..0D7F; Malayalam
0D80..0DFF; Singhalais
0E00..0E7F; Thaï
0E80..0EFF; Lao
0F00..0FFF; Tibétain
1000..109F; Birman
10A0..10FF; Géorgien
1100..11FF; Jamos hangûl
1200..137F; Éthiopien
1380..139F; Supplément éthiopien
13A0..13FF; Chérokie
1400..167F; Syllabaires autochtones canadiens
1680..169F; Ogam
16A0..16FF; Runes
1700..171F; Tagalog
1720..173F; Hanounóo
1740..175F; Bouhid
1760..177F; Tagbanoua
1780..17FF; Khmer
1800..18AF; Mongol
18B0..18FF; Syllabaires autochtones canadiens étendus
1900..194F; Limbu
1950..197F; Taï-le
1980..19DF; Nouveau taï lü
19E0..19FF; Symboles khmers
1A00..1A1F; Bougui
1A20..1AAF; Taï-tham
1AB0..1AFF; Diacritiques complémentaires
1B00..1B7F; Balinais
1B80..1BBF; Soundanais
1BC0..1BFF; Batak
1C00..1C4F; Leptcha
1C50..1C7F; Ol tchiki
1C80..1C8F; Cyrillique étendu C
1C90..1CBF; Géorgien étendu
1CC0..1CCF; Supplément soundanais
1CD0..1CFF; Supplément védique
1D00..1D7F; Supplément phonétique
1D80..1DBF; Supplément phonétique étendu
1DC0..1DFF; Supplément de diacritiques
1E00..1EFF; Latin étendu additionnel
1F00..1FFF; Grec étendu
2000..206F; Ponctuation générale
2070..209F; Exposants et indices
20A0..20CF; Symboles monétaires
20D0..20FF; Signes combinatoires pour des symboles
2100..214F; Symboles de type lettre
2150..218F; Formes numérales
2190..21FF; Flèches
2200..22FF; Opérateurs mathématiques
2300..23FF; Signes techniques divers
2400..243F; Pictogrammes de commande
2440..245F; Reconnaissance optique de caractères
2460..24FF; Symboles alphanumériques délimités
2500..257F; Filets
2580..259F; Pavés
25A0..25FF; Formes géométriques
2600..26FF; Symboles divers
2700..27BF; Casseau
27C0..27EF; Divers symboles mathématiques - A
27F0..27FF; Supplément A de flèches
2800..28FF; Combinaisons braille
2900..297F; Supplément B de flèches
2980..29FF; Divers symboles mathématiques - B
2A00..2AFF; Opérateurs mathématiques supplémentaires
2B00..2BFF; Divers symboles et flèches
2C00..2C5F; Glagolitique
2C60..2C7F; Latin étendu C
2C80..2CFF; Copte
2D00..2D2F; Supplément géorgien
2D30..2D7F; Tifinaghe
2D80..2DDF; Éthiopien étendu
2DE0..2DFF; Cyrillique étendu A
2E00..2E7F; Ponctuation complémentaire
2E80..2EFF; Formes supplémentaires des clés CJC
2F00..2FDF; Clés du Kangxi
2FF0..2FFF; Caractères de description idéographique
3000..303F; Symboles et ponctuation CJC
3040..309F; Hiragana
30A0..30FF; Katakana
3100..312F; Bopomofo
3130..318F; Jamos hangûl de compatibilité
3190..319F; Kanboun
31A0..31BF; Bopomofo étendu
31C0..31EF; Traits CJC
31F0..31FF; Supplément phonétique katakana
3200..32FF; Lettres et mois CJC délimités
3300..33FF; Compatibilité CJC
3400..4DBF; Supplément A aux idéogrammes unifiés CJC
4DC0..4DFF; Hexagrammes du Classique des mutations ou Yi-king
4E00..9FFF; Idéogrammes unifiés CJC
A000..A48F; Syllabaire yi des Monts frais
A490..A4CF; Clés yi
A4D0..A4FF; Lissou
A500..A63F; Vaï
A640..A69F; Cyrillique étendu B
A6A0..A6FF; Bamoum
A700..A71F; Lettres modificatives de ton
A720..A7FF; Latin étendu D
A800..A82F; Sylotî nâgrî
A830..A83F; Formes numériques communes indiennes
A840..A87F; Phags-pa
A880..A8DF; Saurachtra
A8E0..A8FF; Dévanâgarî étendue
A900..A92F; Kayah li
A930..A95F; Rejang
A960..A97F; Jamos hangûl complémentaires A
A980..A9DF; Javanais
A9E0..A9FF; Birman étendu B
AA00..AA5F; Tcham
AA60..AA7F; Birman étendu A
AA80..AADF; Taï-viet
AAE0..AAFF; Supplément meitei mayek
AB00..AB2F; Éthiopien étendu A
AB30..AB6F; Latin étendu E
AB70..ABBF; Supplément chérokie
ABC0..ABFF; Meitei mayek
AC00..D7AF; Syllabes hangûl
D7B0..D7FF; Jamos hangûl complémentaires B
D800..DB7F; Demi-zone haute
DB80..DBFF; Partie à usage privé de la demi-zone haute
DC00..DFFF; Demi-zone basse
E000..F8FF; Zone à usage privé
F900..FAFF; Idéogrammes de compatibilité CJC
FB00..FB4F; Formes de présentation alphabétiques
FB50..FDFF; Formes A de présentation arabes
FE00..FE0F; Sélecteurs de variante
FE10..FE1F; Formes verticales
FE20..FE2F; Demi-signes combinatoires
FE30..FE4F; Formes de compatibilité CJC
FE50..FE6F; Petites variantes de forme
FE70..FEFF; Formes B de présentation arabes
FF00..FFEF; Formes de demi-chasse et de pleine chasse
FFF0..FFFF; Caractères spéciaux
10000..1007F; Syllabaire linéaire B
10080..100FF; Idéogrammes du linéaire B
10100..1013F; Nombres égéens
10140..1018F; Nombres grecs anciens
10190..101CF; Symboles de l’Antiquité
101D0..101FF; Disque de Phaïstos
10280..1029F; Lycien
102A0..102DF; Carien
